"year","month","noa1","ts","time","noa2"
1658,12,-0.3,1658.96,"1658-12-15 00:00:00",0
1659,10,0.1,1659.79,"1659-10-15 00:00:00",0
1659,11,-0.2,1659.88,"1659-11-15 00:00:00",0
1659,1,0.16,1659.04,"1659-1-15 00:00:00",0
1659,12,-1.65,1659.96,"1659-12-15 00:00:00",-2
1659,2,-0.61,1659.12,"1659-2-15 00:00:00",-1
1659,3,-0.34,1659.21,"1659-3-15 00:00:00",0
1659,4,-0.48,1659.29,"1659-4-15 00:00:00",0
1659,5,-0.23,1659.38,"1659-5-15 00:00:00",0
1659,6,0.27,1659.46,"1659-6-15 00:00:00",0
1659,7,0.01,1659.54,"1659-7-15 00:00:00",0
1659,8,0.1,1659.62,"1659-8-15 00:00:00",0
1659,9,-0.44,1659.71,"1659-9-15 00:00:00",0
1660,10,-0.45,1660.79,"1660-10-15 00:00:00",0
1660,11,-0.8,1660.88,"1660-11-15 00:00:00",-1
1660,1,-3.01,1660.04,"1660-1-15 00:00:00",-3
1660,12,0.93,1660.96,"1660-12-15 00:00:00",1
1660,2,-0.51,1660.12,"1660-2-15 00:00:00",-1
1660,3,-0.04,1660.21,"1660-3-15 00:00:00",0
1660,4,0.23,1660.29,"1660-4-15 00:00:00",0
1660,5,0.02,1660.38,"1660-5-15 00:00:00",0
1660,6,-0.12,1660.46,"1660-6-15 00:00:00",0
1660,7,0.08,1660.54,"1660-7-15 00:00:00",0
1660,8,0.16,1660.62,"1660-8-15 00:00:00",0
1660,9,0.37,1660.71,"1660-9-15 00:00:00",0
1661,10,0.16,1661.79,"1661-10-15 00:00:00",0
1661,11,0.51,1661.88,"1661-11-15 00:00:00",1
1661,1,0.71,1661.04,"1661-1-15 00:00:00",1
1661,12,1.36,1661.96,"1661-12-15 00:00:00",1
1661,2,1.26,1661.12,"1661-2-15 00:00:00",1
1661,3,0.16,1661.21,"1661-3-15 00:00:00",0
1661,4,0.25,1661.29,"1661-4-15 00:00:00",0
1661,5,-0.33,1661.38,"1661-5-15 00:00:00",0
1661,6,0.06,1661.46,"1661-6-15 00:00:00",0
1661,7,0.23,1661.54,"1661-7-15 00:00:00",0
1661,8,0.7,1661.62,"1661-8-15 00:00:00",1
1661,9,0.08,1661.71,"1661-9-15 00:00:00",0
1662,10,-0.19,1662.79,"1662-10-15 00:00:00",0
1662,11,0.23,1662.88,"1662-11-15 00:00:00",0
1662,1,1.4,1662.04,"1662-1-15 00:00:00",1
1662,12,-1.45,1662.96,"1662-12-15 00:00:00",-1
1662,2,1.2,1662.12,"1662-2-15 00:00:00",1
1662,3,0.53,1662.21,"1662-3-15 00:00:00",1
1662,4,0.34,1662.29,"1662-4-15 00:00:00",0
1662,5,-0.93,1662.38,"1662-5-15 00:00:00",-1
1662,6,-0.18,1662.46,"1662-6-15 00:00:00",0
1662,7,0.12,1662.54,"1662-7-15 00:00:00",0
1662,8,0.09,1662.62,"1662-8-15 00:00:00",0
1662,9,-0.14,1662.71,"1662-9-15 00:00:00",0
1663,10,-0.18,1663.79,"1663-10-15 00:00:00",0
1663,11,-0.25,1663.88,"1663-11-15 00:00:00",0
1663,1,-2.58,1663.04,"1663-1-15 00:00:00",-3
1663,12,0.2,1663.96,"1663-12-15 00:00:00",0
1663,2,-2.35,1663.12,"1663-2-15 00:00:00",-2
1663,3,-0.34,1663.21,"1663-3-15 00:00:00",0
1663,4,-0.56,1663.29,"1663-4-15 00:00:00",-1
1663,5,-0.35,1663.38,"1663-5-15 00:00:00",0
1663,6,0.03,1663.46,"1663-6-15 00:00:00",0
1663,7,0.14,1663.54,"1663-7-15 00:00:00",0
1663,8,0.11,1663.62,"1663-8-15 00:00:00",0
1663,9,-0.03,1663.71,"1663-9-15 00:00:00",0
1664,10,-0.95,1664.79,"1664-10-15 00:00:00",-1
1664,11,-0.37,1664.88,"1664-11-15 00:00:00",0
1664,1,0.1,1664.04,"1664-1-15 00:00:00",0
1664,12,-0.87,1664.96,"1664-12-15 00:00:00",-1
1664,2,0.41,1664.12,"1664-2-15 00:00:00",0
1664,3,-0.43,1664.21,"1664-3-15 00:00:00",0
1664,4,-0.28,1664.29,"1664-4-15 00:00:00",0
1664,5,-0.26,1664.38,"1664-5-15 00:00:00",0
1664,6,-0.04,1664.46,"1664-6-15 00:00:00",0
1664,7,0.07,1664.54,"1664-7-15 00:00:00",0
1664,8,0.11,1664.62,"1664-8-15 00:00:00",0
1664,9,-0.15,1664.71,"1664-9-15 00:00:00",0
1665,10,-0.71,1665.79,"1665-10-15 00:00:00",-1
1665,11,-0.4,1665.88,"1665-11-15 00:00:00",0
1665,1,-2.52,1665.04,"1665-1-15 00:00:00",-3
1665,12,-1.05,1665.96,"1665-12-15 00:00:00",-1
1665,2,-2.2,1665.12,"1665-2-15 00:00:00",-2
1665,3,-0.95,1665.21,"1665-3-15 00:00:00",-1
1665,4,-0.85,1665.29,"1665-4-15 00:00:00",-1
1665,5,-0.2,1665.38,"1665-5-15 00:00:00",0
1665,6,0,1665.46,"1665-6-15 00:00:00",0
1665,7,0.19,1665.54,"1665-7-15 00:00:00",0
1665,8,0.28,1665.62,"1665-8-15 00:00:00",0
1665,9,0.07,1665.71,"1665-9-15 00:00:00",0
1666,10,-0.39,1666.79,"1666-10-15 00:00:00",0
1666,11,-0.31,1666.88,"1666-11-15 00:00:00",0
1666,1,-0.34,1666.04,"1666-1-15 00:00:00",0
1666,12,-1.37,1666.96,"1666-12-15 00:00:00",-1
1666,2,0.17,1666.12,"1666-2-15 00:00:00",0
1666,3,-0.65,1666.21,"1666-3-15 00:00:00",-1
1666,4,0.02,1666.29,"1666-4-15 00:00:00",0
1666,5,0.26,1666.38,"1666-5-15 00:00:00",0
1666,6,-0.14,1666.46,"1666-6-15 00:00:00",0
1666,7,-0.15,1666.54,"1666-7-15 00:00:00",0
1666,8,0.01,1666.62,"1666-8-15 00:00:00",0
1666,9,0.07,1666.71,"1666-9-15 00:00:00",0
1667,10,-0.33,1667.79,"1667-10-15 00:00:00",0
1667,11,-0.63,1667.88,"1667-11-15 00:00:00",-1
1667,1,-2.7,1667.04,"1667-1-15 00:00:00",-3
1667,12,-0.42,1667.96,"1667-12-15 00:00:00",0
1667,2,1.09,1667.12,"1667-2-15 00:00:00",1
1667,3,-0.84,1667.21,"1667-3-15 00:00:00",-1
1667,4,-0.39,1667.29,"1667-4-15 00:00:00",0
1667,5,-0.95,1667.38,"1667-5-15 00:00:00",-1
1667,6,-0.4,1667.46,"1667-6-15 00:00:00",0
1667,7,0.03,1667.54,"1667-7-15 00:00:00",0
1667,8,-0.01,1667.62,"1667-8-15 00:00:00",0
1667,9,-0.1,1667.71,"1667-9-15 00:00:00",0
1668,10,0.31,1668.79,"1668-10-15 00:00:00",0
1668,11,0.44,1668.88,"1668-11-15 00:00:00",0
1668,1,0.87,1668.04,"1668-1-15 00:00:00",1
1668,12,1.13,1668.96,"1668-12-15 00:00:00",1
1668,2,0.45,1668.12,"1668-2-15 00:00:00",0
1668,3,-0.26,1668.21,"1668-3-15 00:00:00",0
1668,4,-0.41,1668.29,"1668-4-15 00:00:00",0
1668,5,-0.82,1668.38,"1668-5-15 00:00:00",-1
1668,6,0.26,1668.46,"1668-6-15 00:00:00",0
1668,7,0.11,1668.54,"1668-7-15 00:00:00",0
1668,8,0.08,1668.62,"1668-8-15 00:00:00",0
1668,9,-0.28,1668.71,"1668-9-15 00:00:00",0
1669,10,0.18,1669.79,"1669-10-15 00:00:00",0
1669,11,-0.09,1669.88,"1669-11-15 00:00:00",0
1669,1,-1.42,1669.04,"1669-1-15 00:00:00",-1
1669,12,-1.91,1669.96,"1669-12-15 00:00:00",-2
1669,2,0.09,1669.12,"1669-2-15 00:00:00",0
1669,3,-0.25,1669.21,"1669-3-15 00:00:00",0
1669,4,-0.94,1669.29,"1669-4-15 00:00:00",-1
1669,5,-0.51,1669.38,"1669-5-15 00:00:00",-1
1669,6,0.1,1669.46,"1669-6-15 00:00:00",0
1669,7,0.07,1669.54,"1669-7-15 00:00:00",0
1669,8,0.03,1669.62,"1669-8-15 00:00:00",0
1669,9,0.42,1669.71,"1669-9-15 00:00:00",0
1670,10,0.01,1670.79,"1670-10-15 00:00:00",0
1670,11,-0.46,1670.88,"1670-11-15 00:00:00",0
1670,1,-0.55,1670.04,"1670-1-15 00:00:00",-1
1670,12,-0.44,1670.96,"1670-12-15 00:00:00",0
1670,2,-2.36,1670.12,"1670-2-15 00:00:00",-2
1670,3,0.31,1670.21,"1670-3-15 00:00:00",0
1670,4,-0.55,1670.29,"1670-4-15 00:00:00",-1
1670,5,-0.33,1670.38,"1670-5-15 00:00:00",0
1670,6,-0.02,1670.46,"1670-6-15 00:00:00",0
1670,7,0.06,1670.54,"1670-7-15 00:00:00",0
